"","Site","Lat","Long"
"412","21VASWCB-1AACO004.84",38.7205,-77.1907
"413","21VASWCB-9-CPL028.10",36.8139,-81.2583
"414","21VASWCB-5ABLW011.48",36.6511,-76.9131
"415","21VASWCB-6BCOP002.00",36.6564,-82.7214
"416","21VASWCB-5ABNT002.70",36.8778,-76.9551
"417","21VASWCB-9-WFC011.05",37.2689,-80.9533
"418","21VASWCB-2-APP081.04",37.4447,-78.0947
"419","21VASWCB-3-ROB024.06",38.4658,-78.3144
"420","21VASWCB-2-GEN000.69",37.6216,-77.7793
"421","21VASWCB-1ANOM011.37",38.0408,-76.7064
"422","21VASWCB-9-WFC005.61",37.297,-80.8774
"423","21VASWCB-6CBRU000.20",36.7919,-82.0197
"424","21VASWCB-5AMSC002.30",36.8303,-78.2281
"425","21VASWCB-2BLIR007.16",37.7645,-79.1644
"426","21VASWCB-5ASRE002.12",36.9339,-77.0978
"427","21VASWCB-9-BIC000.14",36.9958,-80.5208
"428","21VASWCB-6CGAS000.45",36.742,-82.1576
"429","21VASWCB-4AROA097.46",37.0403,-78.9514
"430","21VASWCB-2-SLT003.68",37.7027,-78.3768
"431","21VASWCB-2-BWD000.50",37.4372,-77.8519
"432","21VASWCB-6BGUE006.50",36.9295,-82.4563
"433","21VASWCB-2-APP137.55",37.3878,-78.62
"434","21VASWCB-1APOP003.92",38.1639,-76.9417
"435","21VASWCB-6CTOO000.25",36.7969,-81.9933
"436","21VASWCB-4AGSE013.78",37.1731,-79.5206
"437","21VASWCB-6BPLU000.40",37.1225,-81.5631
"438","21VASWCB-3-MTN014.88",38.4534,-77.9008
"439","21VASWCB-2-CFP004.67",37.9872,-79.4941
"440","21VASWCB-2-BLD011.90",37.7456,-79.5264
"441","21VASWCB-8-STH004.37",38.0525,-77.4397
"442","21VASWCB-1AXGJ000.42",39.1611,-77.5383
"443","21VASWCB-1BBAK001.74",38.1328,-79.1942
"444","21VASWCB-4APGG008.87",36.946,-79.5243
"445","21VASWCB-4ANFA000.35",36.6311,-78.7153
"446","21VASWCB-1ATUK003.37",38.6717,-77.7142
"447","21VASWCB-2-RKF023.33",37.8435,-78.8161
"448","21VASWCB-2-RKF026.42",37.87,-78.8231
"449","21VASWCB-4BELK000.96",36.6444,-80.6472
"450","21VASWCB-2-XZN001.15",37.1631,-78.089
"451","21VASWCB-6CSPO001.45",36.647,-82.0047
"452","21VASWCB-3-THO014.37",38.6543,-78.1311
"453","21VASWCB-6BLWS000.06",36.9917,-81.9722
"454","21VASWCB-5ABLW014.88",36.6858,-76.921
"455","21VASWCB-6ABLC002.30",37.2975,-82.1931
"456","21VASWCB-6BFLC000.52",36.83,-82.4578
"457","21VASWCB-9-RDC023.24",36.9464,-81.0256
"458","21VASWCB-2-HAZ000.04",37.4389,-79.1508
"459","21VASWCB-8-PCT002.29",37.9556,-77.3681
"460","21VASWCB-4AWFC002.12",37.0064,-78.67
"461","21VASWCB-2-JKS090.90",38.3369,-79.6319
"462","21VASWCB-2-BLP000.79",38.1953,-79.5707
"463","21VASWCB-4AXOF001.26",36.802,-79.7009
"464","21VASWCB-2-FLA028.98",37.2514,-78.1864
"465","21VASWCB-2-CFP036.20",38.2803,-79.2939
"466","21VASWCB-4ABOR000.62",37.1389,-79.2442
"467","21VASWCB-9-NEW081.72",37.1386,-80.575
"468","21VASWCB-2-BRK001.00",37.5896,-78.245
"469","21VASWCB-1BPSG001.36",38.9589,-78.2667
"470","21VASWCB-2-RRN002.19",38.0878,-78.4122
"471","21VASWCB-5BNTW010.23",36.5675,-76.1736
"472","21VASWCB-2-PNY005.29",37.7025,-79.0275
